Earth,x1,y1,Sun,x2,y2
,125327951.841163,50608205.672026,,245439.303086,31095.104533
,124813166.217130,51007069.669165,,250158.726272,32022.293589
,124293048.883593,51403751.765353,,254927.029209,32969.485756
,123767582.498903,51798218.535010,,259744.370881,33936.987471
,123236749.480512,52190436.055210,,264610.912481,34925.109731
,122700532.002567,52580369.893574,,269526.817432,35934.168203
,122158911.993494,52967985.095828,,274492.251409,36964.483339
,121611871.133548,53353246.173002,,279507.382363,38016.380492
,121059390.852359,53736117.088273,,284572.380543,39090.190040
,120501452.326457,54116561.243423,,289687.418516,40186.247505
,119938036.476783,54494541.464909,,294852.671196,41304.893685
,119369123.966187,54870019.989532,,300068.315860,42446.474783
,118794695.196916,55242958.449683,,305334.532175,43611.342544
,118214730.308094,55613317.858154,,310651.502221,44799.854392
,117629209.173195,55981058.592502,,316019.410512,46012.373576
,117038111.397510,56346140.378945,,321438.444023,47249.269316
,116441416.315618,56708522.275778,,326908.792208,48510.916954
,115839102.988849,57068162.656280,,332430.647028,49797.698114
,115231150.202760,57425019.191113,,338004.202971,51110.000861
,114617536.464616,57779048.830169,,343629.657077,52448.219867
,113998240.000879,58130207.783871,,349307.208961,53812.756583
,113373238.754715,58478451.503882,,355037.060834,55204.019417
,112742510.383522,58823734.663223,,360819.417528,56622.423915
,112106032.256473,59166011.135756,,366654.486515,58068.392951
,111463781.452100,59505233.975025,,372542.477934,59542.356917
,110815734.755903,59841355.392426,,378483.604610,61044.753927
,110161868.657998,60174326.734664,,384478.082075,62576.030022
,109502159.350815,60504098.460500,,390526.128591,64136.639383
,108836582.726847,60830620.116734,,396627.965169,65727.044553
,108165114.376455,61153840.313400,,402783.815591,67347.716661
,107487729.585744,61473706.698154,,408993.906428,68999.135661
,106804403.334507,61790165.929811,,415258.467058,70681.790570
,106115110.294263,62103163.650991,,421577.729687,72396.179724
,105419824.826382,62412644.459865,,427951.929362,74142.811032
,104718520.980308,62718551.880929,,434381.303993,75922.202247
,104011172.491915,63020828.334795,,440866.094360,77734.881243
,103297752.781965,63319415.106945,,447406.544138,79581.386299
,102578234.954729,63614252.315410,,454002.899898,81462.266397
,101852591.796744,63905278.877327,,460655.411126,83378.081530
,101120795.775749,64192432.474325,,467364.330232,85329.403017
,100382819.039799,64475649.516702,,474129.912554,87316.813831
,99638633.416587,64754865.106330,,480952.416371,89340.908943
,98888210.412975,65030012.998236,,487832.102898,91402.295669
,98131521.214779,65301025.560810,,494769.236297,93501.594039
,97368536.686809,65567833.734578,,501764.083673,95639.437172
,96599227.373190,65830366.989467,,508816.915069,97816.471671
,95823563.498003,66088553.280519,,515928.003464,100033.358023
,95041514.966252,66342319.001964,,523097.624760,102290.771030
,94253051.365209,66591588.939593,,530326.057773,104589.400235
,93458141.966146,66836286.221352,,537613.584217,106929.950381
,92656755.726506,67076332.266082,,544960.488682,109313.141881
,91848861.292536,67311646.730311,,552367.058612,111739.711304
,91034427.002429,67542147.453028,,559833.584273,114210.411880
,90213420.890019,67767750.398328,,567360.358723,116726.014028
,89385810.689066,67988369.595848,,574947.677771,119287.305904
,88551563.838185,68203917.078886,,582595.839931,121895.093964
,87710647.486476,68414302.820093,,590305.146372,124550.203555
,86863028.499906,68619434.664630,,598075.900859,127253.479530
,86008673.468509,68819218.260673,,605908.409685,130005.786881
,85147548.714468,69013556.987140,,613802.981600,132808.011407
,84279620.301151,69202351.878509,,621759.927726,135661.060398
,83404854.043188,69385501.546584,,629779.561467,138565.863355
,82523215.517657,69562902.099080,,637862.198402,141523.372735
,81634670.076484,69734447.054853,,646008.156177,144534.564732
,80739182.860153,69900027.255630,,654217.754374,147600.440080
